,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
SND,40,8,4,3,0,1,0,0,0,0,0,0,0,0,0
LM0,3,20,25,6,2,0,0,0,0,0,0,0,0,0,0
GIT,8,14,16,17,1,0,0,0,0,0,0,0,0,0,0
LM4,5,10,9,19,8,3,0,0,0,0,0,0,0,1,1
NAC,0,3,2,7,26,10,3,1,2,0,0,0,0,0,2
NEW,0,0,0,2,11,15,5,10,2,3,1,4,1,2,0
MOO,0,0,0,0,2,16,13,7,4,3,4,4,1,2,0
APP,0,0,0,2,2,2,8,12,15,9,4,2,0,0,0
HIL,0,0,0,0,2,2,13,4,5,10,4,0,11,3,2
PBS,0,1,0,0,1,0,4,11,7,4,12,12,1,3,0
SPI,0,0,0,0,0,4,2,5,5,8,9,12,6,1,4
STR,0,0,0,0,0,2,0,3,5,10,7,12,10,7,0
PBZ,0,0,0,0,1,1,2,2,6,4,8,8,7,15,2
PBM,0,0,0,0,0,0,4,1,2,3,6,1,3,8,28
SQR,0,0,0,0,0,0,2,0,3,2,1,1,16,14,17
