,"AudioKit","Hystrix","Leaflet","OptiKey","PhysicsJS","animate.css","bdb","beets","brackets","caffe","calcuta","cpython","earthdata-search","emcee","exo","fsharp","gimp","hospitalrun-frontend","iina","jenkins","osquery","pybuilder","scikitlearn","shellcheck","soundnode-app","spacemacs","standard","uws"
"ApproximationTreeMap",0.959396532,0.9574087106,0.8751010502,0.9467736821,0.8581438139,0.9546701402,0.9320124881,0.902311402,0.9414690355,0.9353203954,0.9337379061,0.9003175081,0.91100592,0.9543719448,0.9228670066,0.9015126487,0.9247641261,0.8952186246,0.9384209702,0.9409576401,0.9366654046,0.9538493228,0.8999861137,0.9274483593,0.9232084411,0.943120388,0.9327532039,0.9368282429
"git",0.9800612086,0.9720889938,0.9298864114,0.9731240999,0.9478501581,0.9844556298,0.9602344738,0.9702080981,0.9691690028,0.979941967,0.9670320524,0.9643948377,0.9380190816,0.9497038575,0.9782268099,0.9293758482,0.9740893762,0.9491098887,0.9752485332,0.9747835876,0.9669393933,0.977794096,0.9568860543,0.9498544269,0.9363710924,0.9739695662,0.9441086264,0.9555821262
"HilbertTreeMap",0.9567130105,0.9552723102,0.8960193896,0.9245463413,0.8576633711,0.9238303347,0.958209145,0.8920640368,0.9595944995,0.9696440764,0.9254297514,0.9024363229,0.8864824012,0.9362831385,0.9609094942,0.8750495569,0.948504756,0.8920623682,0.9340092463,0.9132196369,0.928641151,0.9431597628,0.9147708906,0.8896663293,0.9150194676,0.9387455348,0.9150207347,0.922379777
"IncrementalLayoutWithoutMoves",0.9766307772,0.9663378692,0.8810966059,0.9578191672,0.9279111205,0.9888806036,0.9584841181,0.9709693244,0.971813927,0.9784629499,0.9637681766,0.9509058724,0.9327604422,0.9604671131,0.969403355,0.8806167614,0.9795763343,0.9426020392,0.9707483891,0.968799684,0.9671282497,0.9773230845,0.9448295441,0.9661383776,0.8980209908,0.9742360288,0.9456123002,0.9647558138
"IncrementalLayoutWithMoves",0.9779277846,0.9790344174,0.8504371787,0.9568012861,0.9421902297,0.9888806036,0.9638132668,0.9667981672,0.9731255587,0.9761034113,0.9644013226,0.922075486,0.9338088259,0.944551917,0.9563623862,0.8625747487,0.9795275132,0.9268001853,0.9611218181,0.934040072,0.9635607129,0.9771947227,0.9400346978,0.9661193393,0.9146246005,0.9706513675,0.9432201832,0.8994740884
"MooreTreeMap",0.9652670648,0.9519084715,0.8896255981,0.9457288278,0.9358152241,0.9493130699,0.953478091,0.944616009,0.9614132134,0.9680333055,0.9442089678,0.9194857635,0.8732794275,0.9365111959,0.9502889302,0.895107937,0.9482838373,0.9000591624,0.9526368562,0.9169430537,0.9147026296,0.9488843843,0.9178449725,0.9026023016,0.9122838209,0.9504327482,0.940566701,0.9154378677
"nmac",0.959002531,0.9644157984,0.9118887109,0.9670024718,0.9315753624,0.9723668937,0.963370563,0.9045854592,0.9464928911,0.9676289843,0.9531310509,0.9096731008,0.934050965,0.9622624844,0.9320515311,0.8730835816,0.9445143913,0.9265478031,0.946081617,0.9354239857,0.9581152207,0.9219838101,0.9253163643,0.9584842074,0.8451164713,0.9418887106,0.9549594573,0.9328182941
"nmew",0.9633330002,0.9534629294,0.8953975396,0.9490670241,0.9136744506,0.9723731795,0.8688168164,0.9519811626,0.9449989006,0.9765670272,0.8719328177,0.9550255755,0.9321201642,0.9458801263,0.954806124,0.8955881423,0.9360949573,0.9266986116,0.9566935234,0.9654950625,0.9148248759,0.9617696935,0.9294659479,0.9476807042,0.8504646204,0.9392794755,0.9288571646,0.9203282896
"PivotByMiddle",0.9149531355,0.9445304558,0.8525950345,0.9366401258,0.8600538405,0.9530249872,0.8876466882,0.8501089176,0.9146984803,0.8998841373,0.8844085385,0.864075362,0.8893282253,0.9009540575,0.903729937,0.8505868102,0.8724054731,0.8727243214,0.8700154981,0.8965131145,0.9129923229,0.8754665026,0.8437925427,0.8346316705,0.905189698,0.9241779627,0.9151595631,0.9322470319
"PivotBySplit",0.9584630462,0.9514374279,0.8562916977,0.9434363811,0.8779454588,0.9443152678,0.9392055369,0.8924280963,0.9298549856,0.9320507426,0.934845316,0.8958675128,0.8965886897,0.9162790598,0.9152641567,0.8792467742,0.9009353663,0.8963342484,0.9292628852,0.9526042686,0.9265871799,0.9471588189,0.8837862657,0.902950534,0.9274645524,0.9373832082,0.9245396604,0.9240043184
"PivotBySize",0.9161603938,0.9338923639,0.8625161829,0.8700435264,0.87830143,0.9015057548,0.9321013538,0.8833113187,0.9171338893,0.9288372729,0.8895518717,0.89563186,0.8970618699,0.9332253469,0.8931677854,0.8764514867,0.9145613607,0.9056748584,0.9284239354,0.9362264601,0.9032451311,0.9326296047,0.8857883158,0.9171919395,0.8348038821,0.9387587869,0.9066311634,0.94211497
"SliceAndDice",0.9809280611,0.9784846475,0.9507142846,0.9765286585,0.9680511445,0.9874515084,0.9675143775,0.978163688,0.9744370996,0.9838774376,0.9752855045,0.9724660386,0.9436625098,0.9576359725,0.9807019995,0.9416174165,0.9813376832,0.9526993405,0.9840742766,0.9805603172,0.9742300556,0.9884806321,0.9671869073,0.9906117646,0.9272265024,0.9743540608,0.955730129,0.9699528095
"SpiralTreeMap",0.9612906613,0.9417490956,0.8859557188,0.8785889517,0.8881533888,0.9474665635,0.9164089817,0.8901163456,0.9384721234,0.9382606163,0.9271235506,0.865413464,0.9009482082,0.9448112409,0.9140066941,0.9038292405,0.8966705088,0.8875854236,0.9435438227,0.8638539807,0.9251179779,0.9478119665,0.8975111498,0.9266430701,0.9117948096,0.9292244669,0.9301732437,0.9144710119
"sqrgit",0.9813192509,0.9715630834,0.9179462595,0.9625659335,0.9502324218,0.9845484474,0.9626582603,0.9691320715,0.9735821155,0.9838218482,0.9736209648,0.9675160573,0.9374305318,0.9553532559,0.9750641565,0.9373063493,0.9738609528,0.9391039731,0.9728452838,0.9693528881,0.9641739026,0.9718445256,0.9554233279,0.9556246009,0.9273510718,0.9680229757,0.9519335186,0.9532517575
"SquarifiedTreeMap",0.9401951333,0.9336918653,0.8475360169,0.9324820383,0.8655193651,0.915383907,0.8494727815,0.8611818521,0.9055610303,0.9134493506,0.8842399551,0.8811422205,0.8786913265,0.9059411161,0.930947244,0.8902870139,0.8829121951,0.8630989283,0.8917984733,0.8913839086,0.9189072404,0.9227372357,0.8817498026,0.8937263405,0.9092546269,0.9161375176,0.9243866925,0.8641046567
"StripTreeMap",0.9469452625,0.9328395493,0.8929482376,0.9015110123,0.8708756053,0.9164226837,0.8700964527,0.8793177143,0.9506901802,0.947406809,0.9214619728,0.9022102693,0.8970473063,0.9134546069,0.933468846,0.8859713111,0.9028155464,0.9029508061,0.8924910918,0.8986732723,0.9338532636,0.9352041905,0.9034992797,0.8942283093,0.9093086924,0.9261705842,0.9260654934,0.8788283893
